,names,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,cluster_vals
326,@MonacoTribuneRU,6,0,1,0,3,3,1,0,2,4,2
327,@novayapolsha,5,2,2,1,0,1,0,0,0,0,2
328,@StranaLife,4,0,1,0,0,0,2,5,2,4,0
329,@gbyz_gp210,2,1,0,4,1,4,1,0,5,1,0
330,@A_TRofimOFF,4,3,4,3,0,1,1,1,2,0,0
331,@babushkinavkzg1,0,0,6,6,3,3,3,1,1,0,6
332,@tsentrchs,0,0,3,2,7,1,2,1,3,4,0
333,@77kramola7,4,2,5,2,5,3,1,0,0,1,0
334,@News_Hamovniki,9,3,0,0,0,0,1,2,0,7,2
335,@Deuterium2H,2,3,2,1,4,2,0,0,0,0,0
336,@kizvesti,1,1,0,0,0,0,3,5,7,5,0
337,@MID_RF,0,1,4,8,4,2,0,1,0,1,6
338,@EkaterinaB20,0,2,1,9,7,0,0,2,1,0,6
339,@sibadvokat,2,0,5,2,2,3,2,2,1,3,0
340,@newokruga2019,6,0,0,0,0,4,3,3,4,2,2
341,@naukaizhizn,2,2,4,6,4,0,1,0,0,2,0
342,@TELEPROPUSK,1,1,4,4,5,1,3,2,0,1,0
343,@JuraGonzalez,2,2,0,2,0,0,0,8,1,2,5
344,@officereal,15,4,1,0,0,0,0,0,0,0,2
345,@narpolit,3,4,3,3,2,4,0,1,1,1,0
346,@gijnRu,4,2,0,2,1,4,1,0,1,1,0
347,@DimitrosMB,3,0,2,2,1,0,1,0,2,2,2
348,@StatsAnimatedRU,2,4,2,2,6,4,0,1,1,0,0
349,@Misterfreeman9,8,13,0,0,0,0,0,0,0,0,0
350,@SharesProRu,6,1,0,0,0,2,3,2,4,3,2
351,@Alex46775115,1,3,2,2,3,1,3,2,1,2,0
352,@osnovnoe_pl,7,2,7,3,0,0,0,0,0,0,2
353,@klimatstroiserv,2,4,12,0,0,0,2,0,0,1,3
354,@ezh_odessa,8,2,0,0,0,0,1,3,4,3,2
355,@bnkbel,0,5,16,0,0,0,0,0,0,0,3
356,@Infolyubertsy,3,6,1,3,4,0,0,0,3,0,0
357,@sovanews63,7,1,0,0,0,0,4,1,1,7,2
358,@GonTAlm,0,6,0,0,0,0,3,0,1,2,0
359,@VladimirKononov,16,0,0,0,0,1,4,0,0,0,2
360,@mikhailhkmy,1,3,2,0,0,0,0,0,0,0,0
361,@Skorpionsha,5,6,1,3,0,0,0,0,0,0,0
362,@berezhnaya7,0,4,7,4,5,1,0,0,0,0,0
363,@clopitalks,9,10,2,0,0,0,0,0,0,0,0
364,@nalog__ru,0,3,2,3,4,4,1,2,2,0,0
365,@EDunayevskyi,3,4,2,0,4,1,1,1,2,1,0
366,@YuriM1970,1,6,3,1,2,2,0,0,0,0,0
367,@Oleg_Aliyev,11,2,0,3,0,0,0,0,0,0,2
368,@smeshnoobhoho,5,0,0,3,3,0,1,0,0,0,2
369,@amitashi01,0,3,4,4,2,4,0,1,0,0,0
370,@MatusNk,0,3,3,3,2,2,0,0,0,0,0
371,@n_opposition,1,2,8,6,0,0,0,0,0,1,3
372,@volzsky,1,5,5,4,1,0,1,0,3,0,0
373,@zhartun,0,0,0,20,0,0,0,0,0,0,6
374,@narodovladdya,2,2,7,6,0,0,0,0,0,1,3
375,@DyakonovaLyubov,1,8,7,1,1,1,0,0,0,0,0
376,@Sistema_PJSFC,3,5,1,1,2,0,1,1,2,1,0
377,@ptnpnxlala2014,1,1,0,0,0,0,0,0,0,0,0
378,@michaelbobarev,5,3,2,1,0,0,0,0,0,0,2
379,@mos777kva,1,3,3,1,1,3,0,3,1,0,0
380,@CentrKubani,0,2,10,7,0,0,0,0,0,0,3
381,@RIntroverta,3,2,3,1,0,0,0,0,0,0,0
382,@nbldtl,1,7,6,3,0,0,0,0,0,0,0
383,@provinc_gazeta,2,5,4,3,3,1,0,0,0,0,0
384,@filosof72,2,3,4,3,3,0,0,0,0,0,0
385,@ivanbeletskiy,1,2,7,6,0,0,0,0,0,1,3
386,@mvd_official,2,10,1,0,3,0,0,1,0,0,0
387,@jurist_43,0,1,7,0,2,1,2,4,1,1,3
388,@corona03ru,0,4,7,3,5,0,0,0,0,0,0
389,@nikitozzzzzzzz,3,1,1,1,0,0,0,0,0,0,2
390,@UGorizont,7,0,0,0,0,4,2,3,1,2,2
391,@san4oussss,2,13,3,0,0,1,0,0,0,0,0
392,@Bahaiarc,4,6,3,3,0,1,0,0,1,1,0
393,@novyekolesa,4,5,0,0,0,0,2,3,1,2,0
394,@october_bolsh,2,3,2,1,2,4,1,2,2,0,0
395,@LigaTV,8,3,2,3,0,0,0,0,0,0,2
396,@RomanEvgPass,3,4,3,1,3,0,0,0,1,1,0
397,@gku_energo,2,2,3,4,1,1,1,2,1,2,0
398,@ks_tahoe,0,6,0,2,2,7,0,1,0,0,0
399,@O_Kuvshinnikov,0,1,1,3,3,0,3,3,1,3,0
400,@NewsFrol,0,4,0,3,1,0,0,0,0,0,0
401,@AVTomatov,3,0,1,0,0,0,0,0,0,0,2
402,@troitskinform,4,0,4,0,3,3,1,1,0,2,0
403,@MediaBlockPost,0,0,6,5,0,0,4,1,1,1,3
404,@BELVPO_com,0,1,6,1,3,1,3,1,0,2,3
405,@RusskiyMarsh14,2,2,7,5,0,0,0,0,0,0,3
406,@Marley_Online,5,2,4,3,1,1,0,1,1,0,0
407,@fastler,0,1,0,0,0,0,0,0,0,0,0
408,@StepandstepRu,3,6,3,0,0,0,0,0,1,1,0
409,@i_pression,0,0,1,6,3,4,0,2,1,1,6
410,@tastyfoodinfo,9,1,0,0,0,0,0,0,0,0,2
411,@mezyukho,2,7,1,2,1,1,0,1,0,2,0
412,@opentvtv,2,2,3,1,1,2,0,0,0,0,0
413,@info_redmsk,10,1,0,0,0,0,4,0,1,2,2
